,x,y,time,bird,type
3,10.0,21.0,4,4,communicators
4,11.0,20.0,5,4,communicators
5,11.0,20.0,6,4,communicators
6,10.0,20.0,7,4,communicators
7,11.0,21.0,8,4,communicators
8,11.0,18.0,9,4,communicators
9,13.0,16.0,10,4,communicators
10,15.0,14.0,11,4,communicators
11,15.0,11.0,12,4,communicators
12,16.0,9.0,13,4,communicators
13,17.0,10.0,14,4,communicators
14,17.0,9.0,15,4,communicators
15,18.0,10.0,16,4,communicators
16,15.0,10.0,17,4,communicators
17,15.0,10.0,18,4,communicators
18,13.0,9.0,19,4,communicators
19,14.0,10.0,20,4,communicators
20,15.0,12.0,21,4,communicators
21,14.0,10.0,22,4,communicators
22,16.0,11.0,23,4,communicators
23,15.0,9.0,24,4,communicators
24,16.0,7.0,25,4,communicators
25,14.0,8.0,26,4,communicators
26,13.0,9.0,27,4,communicators
27,11.0,9.0,28,4,communicators
28,9.0,10.0,29,4,communicators
29,8.0,8.0,30,4,communicators
30,9.0,9.0,31,4,communicators
31,9.0,11.0,32,4,communicators
32,7.0,10.0,33,4,communicators
33,7.0,13.0,34,4,communicators
34,9.0,11.0,35,4,communicators
35,10.0,12.0,36,4,communicators
36,10.0,12.0,37,4,communicators
37,10.0,15.0,38,4,communicators
38,12.0,16.0,39,4,communicators
39,12.0,16.0,40,4,communicators
40,11.0,15.0,41,4,communicators
41,10.0,15.0,42,4,communicators
42,11.0,15.0,43,4,communicators
43,12.0,13.0,44,4,communicators
44,14.0,12.0,45,4,communicators
45,16.0,13.0,46,4,communicators
46,17.0,13.0,47,4,communicators
47,14.0,13.0,48,4,communicators
48,13.0,15.0,49,4,communicators
49,0.0,0.0,50,4,communicators
0,22.0,22.0,1,5,communicators
1,21.0,20.0,2,5,communicators
2,18.0,20.0,3,5,communicators
3,15.0,20.0,4,5,communicators
4,12.0,20.0,5,5,communicators
5,11.0,20.0,6,5,communicators
6,10.0,20.0,7,5,communicators
7,11.0,21.0,8,5,communicators
8,11.0,18.0,9,5,communicators
9,13.0,16.0,10,5,communicators
10,15.0,14.0,11,5,communicators
11,15.0,11.0,12,5,communicators
12,16.0,9.0,13,5,communicators
13,17.0,10.0,14,5,communicators
14,17.0,9.0,15,5,communicators
15,19.0,8.0,16,5,communicators
16,17.0,6.0,17,5,communicators
17,15.0,4.0,18,5,communicators
18,18.0,4.0,19,5,communicators
19,18.0,3.0,20,5,communicators
20,17.0,4.0,21,5,communicators
21,17.0,2.0,22,5,communicators
22,16.0,0.0,23,5,communicators
23,14.0,1.0,24,5,communicators
24,16.0,1.0,25,5,communicators
25,16.0,1.0,26,5,communicators
26,14.0,0.0,27,5,communicators
27,11.0,0.0,28,5,communicators
28,11.0,1.0,29,5,communicators
29,12.0,2.0,30,5,communicators
30,12.0,2.0,31,5,communicators
31,13.0,0.0,32,5,communicators
32,13.0,3.0,33,5,communicators
33,15.0,4.0,34,5,communicators
34,14.0,5.0,35,5,communicators
35,12.0,3.0,36,5,communicators
36,9.0,3.0,37,5,communicators
37,9.0,2.0,38,5,communicators
38,8.0,3.0,39,5,communicators
39,8.0,4.0,40,5,communicators
40,8.0,6.0,41,5,communicators
41,9.0,8.0,42,5,communicators
42,10.0,7.0,43,5,communicators
43,12.0,9.0,44,5,communicators
44,12.0,9.0,45,5,communicators
45,12.0,8.0,46,5,communicators
46,9.0,8.0,47,5,communicators
47,9.0,6.0,48,5,communicators
48,8.0,5.0,49,5,communicators
49,0.0,0.0,50,5,communicators
0,16.0,17.0,1,6,communicators
1,16.0,16.0,2,6,communicators
2,14.0,18.0,3,6,communicators
3,12.0,20.0,4,6,communicators
4,11.0,20.0,5,6,communicators
5,11.0,20.0,6,6,communicators
6,10.0,20.0,7,6,communicators
7,11.0,21.0,8,6,communicators
8,11.0,18.0,9,6,communicators
9,13.0,16.0,10,6,communicators
10,15.0,14.0,11,6,communicators
11,15.0,11.0,12,6,communicators
12,16.0,9.0,13,6,communicators
13,17.0,10.0,14,6,communicators
14,17.0,9.0,15,6,communicators
15,18.0,10.0,16,6,communicators
16,16.0,9.0,17,6,communicators
17,19.0,9.0,18,6,communicators
18,18.0,9.0,19,6,communicators
19,18.0,9.0,20,6,communicators
20,20.0,11.0,21,6,communicators
21,18.0,11.0,22,6,communicators
22,20.0,12.0,23,6,communicators
23,18.0,14.0,24,6,communicators
24,18.0,14.0,25,6,communicators
25,20.0,12.0,26,6,communicators
26,18.0,13.0,27,6,communicators
27,18.0,10.0,28,6,communicators
28,18.0,13.0,29,6,communicators
29,15.0,13.0,30,6,communicators
30,15.0,14.0,31,6,communicators
31,16.0,12.0,32,6,communicators
32,16.0,13.0,33,6,communicators
33,14.0,13.0,34,6,communicators
34,16.0,11.0,35,6,communicators
35,14.0,11.0,36,6,communicators
