,x,y,time,forager,type
105,30.0,25.0,106,2,communicators
106,28.0,23.0,107,2,communicators
107,26.0,21.0,108,2,communicators
108,24.0,19.0,109,2,communicators
109,26.0,17.0,110,2,communicators
110,28.0,15.0,111,2,communicators
111,27.0,14.0,112,2,communicators
112,28.0,14.0,113,2,communicators
113,27.0,15.0,114,2,communicators
114,27.0,15.0,115,2,communicators
115,28.0,15.0,116,2,communicators
116,28.0,14.0,117,2,communicators
117,29.0,16.0,118,2,communicators
118,29.0,16.0,119,2,communicators
119,0.0,0.0,120,2,communicators
0,4.0,21.0,1,3,communicators
1,4.0,18.0,2,3,communicators
2,3.0,16.0,3,3,communicators
3,4.0,16.0,4,3,communicators
4,4.0,15.0,5,3,communicators
5,3.0,16.0,6,3,communicators
6,3.0,13.0,7,3,communicators
7,3.0,10.0,8,3,communicators
8,3.0,7.0,9,3,communicators
9,5.0,5.0,10,3,communicators
10,7.0,3.0,11,3,communicators
11,8.0,1.0,12,3,communicators
12,7.0,1.0,13,3,communicators
13,7.0,0.0,14,3,communicators
14,8.0,0.0,15,3,communicators
15,6.0,2.0,16,3,communicators
16,5.0,2.0,17,3,communicators
17,6.0,3.0,18,3,communicators
18,5.0,3.0,19,3,communicators
19,8.0,3.0,20,3,communicators
20,11.0,3.0,21,3,communicators
21,14.0,3.0,22,3,communicators
22,15.0,5.0,23,3,communicators
23,16.0,4.0,24,3,communicators
24,19.0,4.0,25,3,communicators
25,22.0,4.0,26,3,communicators
26,25.0,4.0,27,3,communicators
27,27.0,2.0,28,3,communicators
28,30.0,2.0,29,3,communicators
29,31.0,2.0,30,3,communicators
30,31.0,1.0,31,3,communicators
31,30.0,1.0,32,3,communicators
32,32.0,2.0,33,3,communicators
33,32.0,5.0,34,3,communicators
34,32.0,8.0,35,3,communicators
35,32.0,8.0,36,3,communicators
36,32.0,9.0,37,3,communicators
37,33.0,9.0,38,3,communicators
38,30.0,9.0,39,3,communicators
39,27.0,9.0,40,3,communicators
40,26.0,10.0,41,3,communicators
41,26.0,9.0,42,3,communicators
42,27.0,10.0,43,3,communicators
43,27.0,9.0,44,3,communicators
44,26.0,9.0,45,3,communicators
45,25.0,7.0,46,3,communicators
46,26.0,5.0,47,3,communicators
47,24.0,7.0,48,3,communicators
48,22.0,9.0,49,3,communicators
49,20.0,11.0,50,3,communicators
50,18.0,13.0,51,3,communicators
51,16.0,15.0,52,3,communicators
52,15.0,16.0,53,3,communicators
53,18.0,16.0,54,3,communicators
54,20.0,18.0,55,3,communicators
55,21.0,18.0,56,3,communicators
56,22.0,19.0,57,3,communicators
57,21.0,19.0,58,3,communicators
58,22.0,18.0,59,3,communicators
59,20.0,20.0,60,3,communicators
