,x,y,time,bird,type
15,29.0,19.0,16,6,communicators
16,29.0,22.0,17,6,communicators
17,28.0,20.0,18,6,communicators
18,26.0,22.0,19,6,communicators
19,25.0,21.0,20,6,communicators
20,24.0,23.0,21,6,communicators
21,22.0,21.0,22,6,communicators
22,20.0,19.0,23,6,communicators
23,18.0,17.0,24,6,communicators
24,16.0,15.0,25,6,communicators
25,13.0,15.0,26,6,communicators
26,11.0,13.0,27,6,communicators
27,9.0,11.0,28,6,communicators
28,6.0,11.0,29,6,communicators
29,7.0,12.0,30,6,communicators
30,7.0,13.0,31,6,communicators
31,7.0,10.0,32,6,communicators
32,7.0,7.0,33,6,communicators
33,9.0,7.0,34,6,communicators
34,8.0,6.0,35,6,communicators
35,8.0,5.0,36,6,communicators
36,7.0,6.0,37,6,communicators
37,9.0,6.0,38,6,communicators
38,7.0,5.0,39,6,communicators
39,9.0,5.0,40,6,communicators
40,8.0,7.0,41,6,communicators
41,6.0,7.0,42,6,communicators
42,7.0,8.0,43,6,communicators
43,5.0,7.0,44,6,communicators
44,3.0,5.0,45,6,communicators
45,5.0,5.0,46,6,communicators
46,4.0,7.0,47,6,communicators
47,4.0,8.0,48,6,communicators
48,4.0,6.0,49,6,communicators
49,0.0,0.0,50,6,communicators
0,6.0,20.0,1,7,communicators
1,4.0,22.0,2,7,communicators
2,2.0,22.0,3,7,communicators
3,0.0,20.0,4,7,communicators
4,1.0,22.0,5,7,communicators
5,1.0,22.0,6,7,communicators
6,0.0,20.0,7,7,communicators
7,1.0,18.0,8,7,communicators
8,1.0,21.0,9,7,communicators
9,3.0,21.0,10,7,communicators
10,1.0,22.0,11,7,communicators
11,0.0,24.0,12,7,communicators
12,2.0,22.0,13,7,communicators
13,4.0,21.0,14,7,communicators
14,4.0,18.0,15,7,communicators
15,6.0,17.0,16,7,communicators
16,6.0,14.0,17,7,communicators
17,7.0,12.0,18,7,communicators
18,7.0,11.0,19,7,communicators
19,8.0,11.0,20,7,communicators
20,6.0,11.0,21,7,communicators
21,7.0,13.0,22,7,communicators
22,6.0,12.0,23,7,communicators
23,8.0,13.0,24,7,communicators
24,8.0,12.0,25,7,communicators
25,6.0,13.0,26,7,communicators
26,7.0,11.0,27,7,communicators
27,8.0,11.0,28,7,communicators
28,6.0,11.0,29,7,communicators
29,7.0,12.0,30,7,communicators
30,7.0,13.0,31,7,communicators
31,7.0,10.0,32,7,communicators
32,7.0,7.0,33,7,communicators
33,9.0,7.0,34,7,communicators
34,8.0,6.0,35,7,communicators
35,8.0,5.0,36,7,communicators
36,7.0,6.0,37,7,communicators
37,9.0,6.0,38,7,communicators
