,c_trust,sight_radius,reward_patch_dim,sim index,run index,time to first food,num birds failed
66,0.5,5,3,22,0,5.888888888888889,0
67,0.5,5,3,22,1,4.111111111111111,0
68,0.5,5,3,22,2,4.666666666666667,0
69,0.5,5,4,23,0,12.0,0
70,0.5,5,4,23,1,5.222222222222222,0
71,0.5,5,4,23,2,10.0,0
72,0.5,5,5,24,0,3.4444444444444446,0
73,0.5,5,5,24,1,4.444444444444445,0
74,0.5,5,5,24,2,21.555555555555557,0
75,0.6,5,1,25,0,2.0,0
76,0.6,5,1,25,1,2.2222222222222223,0
77,0.6,5,1,25,2,2.5555555555555554,0
78,0.6,5,2,26,0,3.4444444444444446,0
79,0.6,5,2,26,1,3.5555555555555554,0
80,0.6,5,2,26,2,4.222222222222222,0
81,0.6,5,3,27,0,50.0,9
82,0.6,5,3,27,1,11.666666666666666,1
83,0.6,5,3,27,2,4.444444444444445,0
84,0.6,5,4,28,0,7.0,0
85,0.6,5,4,28,1,7.111111111111111,0
86,0.6,5,4,28,2,8.444444444444445,0
87,0.6,5,5,29,0,4.666666666666667,0
88,0.6,5,5,29,1,3.111111111111111,0
89,0.6,5,5,29,2,5.333333333333333,0
90,0.7,5,1,30,0,3.111111111111111,0
91,0.7,5,1,30,1,2.7777777777777777,0
92,0.7,5,1,30,2,2.2222222222222223,0
93,0.7,5,2,31,0,7.444444444444445,0
94,0.7,5,2,31,1,5.111111111111111,0
95,0.7,5,2,31,2,3.7777777777777777,0
96,0.7,5,3,32,0,3.4444444444444446,0
97,0.7,5,3,32,1,7.333333333333333,0
98,0.7,5,3,32,2,4.222222222222222,0
99,0.7,5,4,33,0,4.222222222222222,0
100,0.7,5,4,33,1,3.0,0
101,0.7,5,4,33,2,14.222222222222221,0
102,0.7,5,5,34,0,6.222222222222222,0
103,0.7,5,5,34,1,10.88888888888889,0
104,0.7,5,5,34,2,13.555555555555555,0
105,0.8,5,1,35,0,2.5555555555555554,0
106,0.8,5,1,35,1,2.111111111111111,0
107,0.8,5,1,35,2,2.0,0
108,0.8,5,2,36,0,4.555555555555555,0
109,0.8,5,2,36,1,3.5555555555555554,0
110,0.8,5,2,36,2,8.0,0
111,0.8,5,3,37,0,6.0,0
112,0.8,5,3,37,1,4.222222222222222,0
113,0.8,5,3,37,2,18.444444444444443,0
114,0.8,5,4,38,0,8.0,0
115,0.8,5,4,38,1,9.11111111111111,0
116,0.8,5,4,38,2,7.888888888888889,0
117,0.8,5,5,39,0,8.444444444444445,0
118,0.8,5,5,39,1,3.5555555555555554,0
119,0.8,5,5,39,2,10.222222222222221,0
120,0.9,5,1,40,0,1.5555555555555556,0
121,0.9,5,1,40,1,2.2222222222222223,0
122,0.9,5,1,40,2,3.5555555555555554,0
123,0.9,5,2,41,0,3.6666666666666665,0
124,0.9,5,2,41,1,6.222222222222222,0
125,0.9,5,2,41,2,6.222222222222222,0
126,0.9,5,3,42,0,2.7777777777777777,0
127,0.9,5,3,42,1,4.0,0
128,0.9,5,3,42,2,3.4444444444444446,0
129,0.9,5,4,43,0,4.666666666666667,0
130,0.9,5,4,43,1,3.7777777777777777,0
131,0.9,5,4,43,2,9.0,0
132,0.9,5,5,44,0,3.111111111111111,0
133,0.9,5,5,44,1,6.111111111111111,0
134,0.9,5,5,44,2,5.777777777777778,0
